,Visited
2016-12-01,242568
2016-12-02,239124
2016-12-03,240029
2016-12-04,249628
2016-12-05,242779
2016-12-06,256690
2016-12-07,248634
2016-12-08,246758
2016-12-09,235961
2016-12-10,239085
2016-12-11,256854
2016-12-12,273154
2016-12-13,249291
2016-12-14,256901
2016-12-15,264443
2016-12-16,253021
2016-12-17,241896
2016-12-18,249604
2016-12-19,225027
2016-12-20,251338
2016-12-21,235840
2016-12-22,231170
2016-12-23,234233
2016-12-24,216745
2016-12-25,232725
2016-12-26,225942
2016-12-27,223353
2016-12-28,222439
2016-12-29,215728
2016-12-30,216382
2016-12-31,208460
2017-01-01,199984
2017-01-02,226444
2017-01-03,202673
2017-01-04,219739
2017-01-05,218785
2017-01-06,208600
2017-01-07,225343
2017-01-08,227077
2017-01-09,228239
2017-01-10,221857
2017-01-11,238929
2017-01-12,212822
2017-01-13,230243
2017-01-14,226865
2017-01-15,225105
2017-01-16,217811
2017-01-17,228032
2017-01-18,240161
2017-01-19,232284
2017-01-20,230381
2017-01-21,220215
2017-01-22,230331
2017-01-23,234929
2017-01-24,218431
2017-01-25,211484
2017-01-26,227206
2017-01-27,219985
2017-01-28,209661
2017-01-29,221028
2017-01-30,220760
2017-01-31,212296
2017-02-01,205193
2017-02-02,214773
2017-02-03,213088
2017-02-04,220665
2017-02-05,223856
2017-02-06,233220
2017-02-07,233184
2017-02-08,235822
2017-02-09,238271
2017-02-10,245054
2017-02-11,232563
2017-02-12,241324
2017-02-13,245481
2017-02-14,237271
2017-02-15,242291
2017-02-16,259774
2017-02-17,248341
2017-02-18,256441
2017-02-19,246275
2017-02-20,247623
2017-02-21,251746
2017-02-22,248657
2017-02-23,248769
2017-02-24,255232
2017-02-25,251781
2017-02-26,238872
2017-02-27,243524
2017-02-28,249244
2017-03-01,239753
2017-03-02,266853
2017-03-03,258354
2017-03-04,253208
2017-03-05,257133
2017-03-06,260428
2017-03-07,269865
2017-03-08,271908
2017-03-09,279461
2017-03-10,287283
2017-03-11,269185
2017-03-12,298203
2017-03-13,280024
2017-03-14,284299
2017-03-15,286666
2017-03-16,282861
2017-03-17,298840
2017-03-18,271792
2017-03-19,295929
2017-03-20,282620
2017-03-21,273088
2017-03-22,283019
2017-03-23,289730
2017-03-24,262303
2017-03-25,271942
2017-03-26,265596
2017-03-27,261947
2017-03-28,266782
2017-03-29,263751
2017-03-30,253970
2017-03-31,270729
2017-04-01,288323
2017-04-02,263854
2017-04-03,293486
2017-04-04,284024
2017-04-05,286820
2017-04-06,302304
2017-04-07,290239
2017-04-08,313789
2017-04-09,295027
2017-04-10,307598
2017-04-11,296695
2017-04-12,308101
2017-04-13,315814
2017-04-14,298880
2017-04-15,286009
2017-04-16,308245
2017-04-17,319549
2017-04-18,310264
2017-04-19,310158
2017-04-20,284979
2017-04-21,303897
2017-04-22,281351
2017-04-23,298517
2017-04-24,273272
2017-04-25,297404
2017-04-26,302309
2017-04-27,282884
2017-04-28,280065
2017-04-29,282098
2017-04-30,255461
2017-05-01,265852
2017-05-02,275444
2017-05-03,281741
2017-05-04,295702
