,Visited
2016-12-01,155561
2016-12-02,125871
2016-12-03,121362
2016-12-04,130961
2016-12-05,132564
2016-12-06,140551
2016-12-07,127769
2016-12-08,141498
2016-12-09,135644
2016-12-10,131484
2016-12-11,131114
2016-12-12,135963
2016-12-13,137575
2016-12-14,130902
2016-12-15,128807
2016-12-16,136258
2016-12-17,127607
2016-12-18,144452
2016-12-19,130477
2016-12-20,144960
2016-12-21,141734
2016-12-22,132455
2016-12-23,137996
2016-12-24,131001
2016-12-25,122566
2016-12-26,119994
2016-12-27,134750
2016-12-28,133281
2016-12-29,123379
2016-12-30,122363
2016-12-31,101324
2017-01-01,117136
2017-01-02,115197
2017-01-03,114710
2017-01-04,107560
2017-01-05,114532
2017-01-06,117003
2017-01-07,118999
2017-01-08,117861
2017-01-09,120205
2017-01-10,131133
2017-01-11,130211
2017-01-12,124863
2017-01-13,111743
2017-01-14,127920
2017-01-15,122942
2017-01-16,126823
2017-01-17,120457
2017-01-18,124815
2017-01-19,119821
2017-01-20,127510
2017-01-21,135181
2017-01-22,130515
2017-01-23,125137
2017-01-24,133323
2017-01-25,134107
2017-01-26,120992
2017-01-27,100226
2017-01-28,126488
2017-01-29,120690
2017-01-30,133272
2017-01-31,124312
2017-02-01,152221
2017-02-02,142291
2017-02-03,139943
2017-02-04,138771
2017-02-05,128172
2017-02-06,146777
2017-02-07,133148
2017-02-08,140527
2017-02-09,143823
2017-02-10,137675
2017-02-11,153999
2017-02-12,134876
2017-02-13,129831
2017-02-14,133701
2017-02-15,137395
2017-02-16,134464
2017-02-17,121303
2017-02-18,128164
2017-02-19,135455
2017-02-20,127914
2017-02-21,146213
2017-02-22,123585
2017-02-23,111928
2017-02-24,119438
2017-02-25,126854
2017-02-26,110208
2017-02-27,115934
2017-02-28,102231
2017-03-01,103100
2017-03-02,115188
2017-03-03,105899
2017-03-04,96254
2017-03-05,112369
2017-03-06,108993
2017-03-07,104504
2017-03-08,114692
2017-03-09,114238
2017-03-10,118396
2017-03-11,102294
2017-03-12,98523
2017-03-13,111814
2017-03-14,108999
2017-03-15,100937
2017-03-16,105419
2017-03-17,117522
2017-03-18,110620
2017-03-19,113092
2017-03-20,111414
2017-03-21,107281
2017-03-22,108827
2017-03-23,116188
2017-03-24,115986
2017-03-25,103598
2017-03-26,110587
2017-03-27,99564
2017-03-28,94879
2017-03-29,104766
2017-03-30,107331
2017-03-31,98154
2017-04-01,110376
2017-04-02,110123
2017-04-03,107669
2017-04-04,108773
2017-04-05,123381
2017-04-06,110012
2017-04-07,96273
2017-04-08,95288
2017-04-09,103514
2017-04-10,112087
2017-04-11,103071
2017-04-12,101550
2017-04-13,111256
2017-04-14,108656
2017-04-15,116266
2017-04-16,118499
2017-04-17,106399
2017-04-18,116527
2017-04-19,111130
2017-04-20,104798
2017-04-21,106604
2017-04-22,102019
2017-04-23,107710
2017-04-24,93195
2017-04-25,93428
2017-04-26,112227
2017-04-27,97254
2017-04-28,90086
2017-04-29,99921
2017-04-30,108515
2017-05-01,99978
2017-05-02,99997
2017-05-03,90238
2017-05-04,92306
2017-05-05,89669
2017-05-06,91139
2017-05-07,95596
2017-05-08,99244
2017-05-09,98047
2017-05-10,105202
2017-05-11,96688
2017-05-12,96206
2017-05-13,90402
2017-05-14,98152
2017-05-15,98351
2017-05-16,97873
2017-05-17,102861
2017-05-18,93891
2017-05-19,103840
2017-05-20,92851
2017-05-21,92536
2017-05-22,91298
2017-05-23,88188
2017-05-24,88383
2017-05-25,90231
2017-05-26,84387
2017-05-27,87365
2017-05-28,76373
2017-05-29,94959
2017-05-30,91562
2017-05-31,80458
2017-06-01,85600
2017-06-02,75809
2017-06-03,72147
2017-06-04,85588
2017-06-05,87305
2017-06-06,82583
2017-06-07,82919
2017-06-08,88464
2017-06-09,82629
2017-06-10,78548
2017-06-11,89910
2017-06-12,85554
2017-06-13,91665
2017-06-14,97239
2017-06-15,88689
2017-06-16,86454
2017-06-17,79537
2017-06-18,87771
2017-06-19,79689
2017-06-20,79097
2017-06-21,90844
2017-06-22,83005
2017-06-23,85626
2017-06-24,91264
2017-06-25,93473
2017-06-26,90479
2017-06-27,86129
2017-06-28,90344
2017-06-29,88540
2017-06-30,88532
2017-07-01,90737
2017-07-02,93569
2017-07-03,104452
2017-07-04,89431
2017-07-05,98913
2017-07-06,100508
2017-07-07,98936
2017-07-08,91635
2017-07-09,103786
2017-07-10,97809
2017-07-11,84196
2017-07-12,94047
2017-07-13,91753
2017-07-14,93435
2017-07-15,99823
2017-07-16,89732
2017-07-17,95285
2017-07-18,83028
2017-07-19,92270
2017-07-20,93881
2017-07-21,92266
2017-07-22,83473
2017-07-23,89044
2017-07-24,88319
2017-07-25,91272
2017-07-26,84117
2017-07-27,76895
2017-07-28,95500
2017-07-29,89656
2017-07-30,94435
2017-07-31,81859
2017-08-01,82697
2017-08-02,84531
2017-08-03,92290
2017-08-04,92227
2017-08-05,90654
2017-08-06,93268
2017-08-07,78599
2017-08-08,81136
2017-08-09,92146
2017-08-10,91320
2017-08-11,81448
2017-08-12,89106
2017-08-13,89576
2017-08-14,77395
2017-08-15,85657
2017-08-16,91748
2017-08-17,93249
2017-08-18,89732
2017-08-19,84008
2017-08-20,93698
2017-08-21,81172
2017-08-22,82437
2017-08-23,75640
2017-08-24,77225
2017-08-25,80326
2017-08-26,78890
2017-08-27,82942
2017-08-28,81652
2017-08-29,88283
2017-08-30,79215
2017-08-31,76564
2017-09-01,72660
2017-09-02,74714
2017-09-03,86100
2017-09-04,87287
2017-09-05,74710
2017-09-06,75891
2017-09-07,83504
2017-09-08,79071
2017-09-09,73807
2017-09-10,73835
2017-09-11,79746
2017-09-12,74405
2017-09-13,76087
2017-09-14,79589
2017-09-15,79750
2017-09-16,68872
2017-09-17,80631
2017-09-18,82933
2017-09-19,70868
2017-09-20,78428
2017-09-21,85952
2017-09-22,68336
2017-09-23,76049
2017-09-24,71570
2017-09-25,78867
2017-09-26,72163
2017-09-27,77008
2017-09-28,74543
2017-09-29,68951
2017-09-30,62761
2017-10-01,70192
2017-10-02,71826
2017-10-03,67821
2017-10-04,78687
2017-10-05,74303
2017-10-06,71145
2017-10-07,70459
2017-10-08,79179
2017-10-09,84528
2017-10-10,71834
2017-10-11,73667
2017-10-12,71404
2017-10-13,78403
2017-10-14,70640
2017-10-15,74089
2017-10-16,73550
2017-10-17,72036
2017-10-18,73641
2017-10-19,69451
2017-10-20,70635
2017-10-21,75333
2017-10-22,75640
2017-10-23,76499
2017-10-24,74999
2017-10-25,67223
2017-10-26,68100
2017-10-27,65143
2017-10-28,70723
2017-10-29,67348
2017-10-30,73334
2017-10-31,74749
2017-11-01,89215
2017-11-02,84637
2017-11-03,91994
2017-11-04,87735
2017-11-05,94567
2017-11-06,86901
2017-11-07,79130
2017-11-08,85763
2017-11-09,86061
2017-11-10,77323
2017-11-11,83084
2017-11-12,80262
2017-11-13,84453
2017-11-14,72987
2017-11-15,74531
2017-11-16,75595
2017-11-17,72685
2017-11-18,66445
2017-11-19,67680
2017-11-20,66125
2017-11-21,62856
2017-11-22,63359
2017-11-23,65268
2017-11-24,59386
2017-11-25,58482
2017-11-26,57514
2017-11-27,53847
2017-11-28,54631
2017-11-29,53659
2017-11-30,54752
2017-12-01,45508
2017-12-02,47428
2017-12-03,45212
2017-12-04,42220
2017-12-05,45109
2017-12-06,44329
2017-12-07,45441
2017-12-08,44349
2017-12-09,42571
2017-12-10,47462
2017-12-11,44384
2017-12-12,39915
2017-12-13,45215
2017-12-14,44524
2017-12-15,45345
2017-12-16,39192
2017-12-17,39376
2017-12-18,39325
2017-12-19,37984
2017-12-20,39547
2017-12-21,43537
2017-12-22,43949
2017-12-23,38093
2017-12-24,40472
2017-12-25,36780
2017-12-26,37790
2017-12-27,41300
2017-12-28,40011
2017-12-29,37899
2017-12-30,37797
2017-12-31,36814
2018-01-01,36813
2018-01-02,33244
2018-01-03,37228
2018-01-04,32177
2018-01-05,31845
2018-01-06,35164
2018-01-07,31506
2018-01-08,34982
2018-01-09,33763
2018-01-10,34348
2018-01-11,35823
2018-01-12,36218
2018-01-13,34991
2018-01-14,36829
2018-01-15,37210
2018-01-16,35149
2018-01-17,34770
2018-01-18,36927
2018-01-19,38972
2018-01-20,32408
2018-01-21,34262
2018-01-22,34467
2018-01-23,34401
2018-01-24,36782
2018-01-25,37993
2018-01-26,36056
2018-01-27,34956
2018-01-28,34745
2018-01-29,37760
2018-01-30,34876
2018-01-31,32969
2018-02-01,30555
2018-02-02,32060
2018-02-03,33630
2018-02-04,30967
2018-02-05,38491
2018-02-06,36428
2018-02-07,37845
2018-02-08,37486
2018-02-09,37795
2018-02-10,33446
2018-02-11,39999
2018-02-12,38005
2018-02-13,36723
2018-02-14,36977
2018-02-15,39259
2018-02-16,40717
2018-02-17,38821
2018-02-18,43159
2018-02-19,39924
2018-02-20,45255
2018-02-21,38610
2018-02-22,44691
2018-02-23,47646
2018-02-24,43286
2018-02-25,42264
2018-02-26,41912
2018-02-27,41245
2018-02-28,44602
2018-03-01,50971
2018-03-02,51873
2018-03-03,54057
2018-03-04,48824
2018-03-05,58199
2018-03-06,52218
2018-03-07,49265
2018-03-08,54143
2018-03-09,48937
2018-03-10,53607
2018-03-11,51361
2018-03-12,57162
2018-03-13,53014
2018-03-14,55163
2018-03-15,53507
2018-03-16,52540
2018-03-17,53006
2018-03-18,52426
2018-03-19,55393
2018-03-20,55765
2018-03-21,53336
2018-03-22,54487
2018-03-23,51311
2018-03-24,53373
2018-03-25,56829
2018-03-26,58030
2018-03-27,55856
2018-03-28,50985
2018-03-29,54466
2018-03-30,53012
2018-03-31,54943
2018-04-01,45775
2018-04-02,46175
2018-04-03,53477
2018-04-04,57246
2018-04-05,53234
2018-04-06,53895
2018-04-07,56477
2018-04-08,52588
2018-04-09,48901
2018-04-10,56945
2018-04-11,51659
2018-04-12,55105
2018-04-13,59533
2018-04-14,59173
2018-04-15,64349
2018-04-16,66823
2018-04-17,59119
2018-04-18,64443
2018-04-19,64939
2018-04-20,65361
2018-04-21,63129
2018-04-22,60914
2018-04-23,59814
2018-04-24,73842
2018-04-25,70288
2018-04-26,62402
2018-04-27,69126
2018-04-28,63062
2018-04-29,74222
2018-04-30,65907
2018-05-01,82603
2018-05-02,81661
2018-05-03,80112
2018-05-04,84979
2018-05-05,86592
2018-05-06,80306
2018-05-07,86952
2018-05-08,80554
2018-05-09,88460
2018-05-10,76948
2018-05-11,85958
2018-05-12,83215
2018-05-13,89824
2018-05-14,78505
2018-05-15,87673
2018-05-16,79211
2018-05-17,90056
2018-05-18,94064
2018-05-19,88948
2018-05-20,86966
2018-05-21,88874
2018-05-22,96216
2018-05-23,83620
2018-05-24,86761
2018-05-25,84537
2018-05-26,94648
2018-05-27,86908
2018-05-28,81013
2018-05-29,92832
2018-05-30,88958
2018-05-31,83994
2018-06-01,79881
2018-06-02,88404
2018-06-03,99646
2018-06-04,99033
2018-06-05,97327
2018-06-06,97554
2018-06-07,109436
2018-06-08,84827
2018-06-09,101621
2018-06-10,94385
2018-06-11,89516
2018-06-12,96323
2018-06-13,94966
2018-06-14,93245
2018-06-15,102661
2018-06-16,85922
2018-06-17,93748
2018-06-18,96324
2018-06-19,95718
2018-06-20,95776
2018-06-21,90760
2018-06-22,98832
2018-06-23,89378
2018-06-24,88251
2018-06-25,91993
2018-06-26,92216
2018-06-27,87745
2018-06-28,90322
2018-06-29,85947
2018-06-30,84148
2018-07-01,78674
2018-07-02,89519
2018-07-03,81044
2018-07-04,89569
2018-07-05,88814
2018-07-06,89770
2018-07-07,79195
2018-07-08,92302
2018-07-09,82238
2018-07-10,94533
2018-07-11,86151
2018-07-12,85716
2018-07-13,86383
2018-07-14,87514
2018-07-15,91187
2018-07-16,93063
2018-07-17,90724
2018-07-18,96467
2018-07-19,97261
2018-07-20,99318
2018-07-21,94872
2018-07-22,86311
2018-07-23,99399
2018-07-24,96954
2018-07-25,94055
2018-07-26,87230
2018-07-27,94722
2018-07-28,92644
