,Visited
2016-12-01,2751
2016-12-02,2589
2016-12-03,2640
2016-12-04,2576
2016-12-05,2886
2016-12-06,2772
2016-12-07,2767
2016-12-08,2737
2016-12-09,2762
2016-12-10,2604
2016-12-11,2900
2016-12-12,3133
2016-12-13,2937
2016-12-14,2744
2016-12-15,2764
2016-12-16,2736
2016-12-17,2779
2016-12-18,2725
2016-12-19,2739
2016-12-20,2673
2016-12-21,2735
2016-12-22,2715
2016-12-23,2486
2016-12-24,2668
2016-12-25,2633
2016-12-26,2443
2016-12-27,2548
2016-12-28,2633
2016-12-29,2451
2016-12-30,2467
2016-12-31,2373
2017-01-01,2499
2017-01-02,2313
2017-01-03,2399
2017-01-04,2183
2017-01-05,2406
2017-01-06,2437
2017-01-07,2349
2017-01-08,2441
2017-01-09,2585
2017-01-10,2492
2017-01-11,2494
2017-01-12,2611
2017-01-13,2549
2017-01-14,2485
2017-01-15,2661
2017-01-16,2550
2017-01-17,2718
2017-01-18,2457
2017-01-19,2578
2017-01-20,2636
2017-01-21,2417
2017-01-22,2647
2017-01-23,2601
2017-01-24,2469
2017-01-25,2528
2017-01-26,2444
2017-01-27,2543
2017-01-28,2494
2017-01-29,2405
2017-01-30,2458
2017-01-31,2471
2017-02-01,2683
2017-02-02,2929
2017-02-03,2708
2017-02-04,2665
2017-02-05,2711
2017-02-06,2720
2017-02-07,2721
2017-02-08,2679
2017-02-09,2752
2017-02-10,2794
2017-02-11,2747
2017-02-12,2724
2017-02-13,2665
2017-02-14,2624
2017-02-15,2705
2017-02-16,2721
2017-02-17,2711
2017-02-18,2702
2017-02-19,2773
2017-02-20,2699
2017-02-21,2608
2017-02-22,2780
2017-02-23,2652
2017-02-24,2708
2017-02-25,2476
2017-02-26,2554
2017-02-27,2481
2017-02-28,2615
2017-03-01,2400
2017-03-02,2673
2017-03-03,2699
2017-03-04,2615
2017-03-05,2671
2017-03-06,2528
2017-03-07,2460
2017-03-08,2629
2017-03-09,2705
2017-03-10,2726
